<<<<<<< HEAD
Ticker;Name;Sector;Asset Class;Location;Exchange
ABT;ABBOTT LABORATORIES;Health Care;Equity;United States;New York Stock Exchange Inc.
NEE;NEXTERA ENERGY INC;Utilities;Equity;United States;New York Stock Exchange Inc.
APH;AMPHENOL CORP CLASS A;Information Technology;Equity;United States;New York Stock Exchange Inc.
ISRG;INTUITIVE SURGICAL INC;Health Care;Equity;United States;NASDAQ
SCHW;CHARLES SCHWAB CORP;Financials;Equity;United States;New York Stock Exchange Inc.
BA;BOEING;Industrials;Equity;United States;New York Stock Exchange Inc.
GILD;GILEAD SCIENCES INC;Health Care;Equity;United States;NASDAQ
T;AT&T INC;Communication;Equity;United States;New York Stock Exchange Inc.
BLK;BLACKROCK INC;Financials;Equity;United States;New York Stock Exchange Inc.
VZ;VERIZON COMMUNICATIONS INC;Communication;Equity;United States;New York Stock Exchange Inc.
BKNG;BOOKING HOLDINGS INC;Consumer Discretionary;Equity;United States;NASDAQ
TJX;TJX INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
QCOM;QUALCOMM INC;Information Technology;Equity;United States;NASDAQ
UBER;UBER TECHNOLOGIES INC;Industrials;Equity;United States;New York Stock Exchange Inc.
ACN;ACCENTURE PLC CLASS A;Information Technology;Equity;United States;New York Stock Exchange Inc.
SPGI;S&P GLOBAL INC;Financials;Equity;United States;New York Stock Exchange Inc.
ADI;ANALOG DEVICES INC;Information Technology;Equity;United States;NASDAQ
ANET;ARISTA NETWORKS INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
LOW;LOWES COMPANIES INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
PFE;PFIZER INC;Health Care;Equity;United States;New York Stock Exchange Inc.
HON;HONEYWELL INTERNATIONAL INC;Industrials;Equity;United States;NASDAQ
UNP;UNION PACIFIC CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
NEM;NEWMONT;Materials;Equity;United States;New York Stock Exchange Inc.
ETN;EATON PLC;Industrials;Equity;United States;New York Stock Exchange Inc.
DHR;DANAHER CORP;Health Care;Equity;United States;New York Stock Exchange Inc.
COF;CAPITAL ONE FINANCIAL CORP;Financials;Equity;United States;New York Stock Exchange Inc.
INTU;INTUIT INC;Information Technology;Equity;United States;NASDAQ
BSX;BOSTON SCIENTIFIC CORP;Health Care;Equity;United States;New York Stock Exchange Inc.
APP;APPLOVIN CORP CLASS A;Information Technology;Equity;United States;NASDAQ
MDT;MEDTRONIC PLC;Health Care;Equity;United States;New York Stock Exchange Inc.
DE;DEERE;Industrials;Equity;United States;New York Stock Exchange Inc.
COP;CONOCOPHILLIPS;Energy;Equity;United States;New York Stock Exchange Inc.
LMT;LOCKHEED MARTIN CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
WELL;WELLTOWER INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
VRTX;VERTEX PHARMACEUTICALS INC;Health Care;Equity;United States;NASDAQ
PGR;PROGRESSIVE CORP;Financials;Equity;United States;New York Stock Exchange Inc.
SYK;STRYKER CORP;Health Care;Equity;United States;New York Stock Exchange Inc.
ADBE;ADOBE INC;Information Technology;Equity;United States;NASDAQ
PLD;PROLOGIS REIT INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
NOW;SERVICENOW INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
PH;PARKER-HANNIFIN CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
PANW;PALO ALTO NETWORKS INC;Information Technology;Equity;United States;NASDAQ
CB;CHUBB LTD;Financials;Equity;United States;New York Stock Exchange Inc.
BMY;BRISTOL MYERS SQUIBB;Health Care;Equity;United States;New York Stock Exchange Inc.
CRWD;CROWDSTRIKE HOLDINGS INC CLASS A;Information Technology;Equity;United States;NASDAQ
SBUX;STARBUCKS CORP;Consumer Discretionary;Equity;United States;NASDAQ
BX;BLACKSTONE INC;Financials;Equity;United States;New York Stock Exchange Inc.
CMCSA;COMCAST CORP CLASS A;Communication;Equity;United States;NASDAQ
CME;CME GROUP INC CLASS A;Financials;Equity;United States;NASDAQ
MCK;MCKESSON CORP;Health Care;Equity;United States;New York Stock Exchange Inc.
MO;ALTRIA GROUP INC;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
ICE;INTERCONTINENTAL EXCHANGE INC;Financials;Equity;United States;New York Stock Exchange Inc.
ADP;AUTOMATIC DATA PROCESSING INC;Industrials;Equity;United States;NASDAQ
SO;SOUTHERN;Utilities;Equity;United States;New York Stock Exchange Inc.
WDC;WESTERN DIGITAL CORP;Information Technology;Equity;United States;NASDAQ
NOC;NORTHROP GRUMMAN CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
TT;TRANE TECHNOLOGIES PLC;Industrials;Equity;United States;New York Stock Exchange Inc.
DUK;DUKE ENERGY CORP;Utilities;Equity;United States;New York Stock Exchange Inc.
FCX;FREEPORT MCMORAN INC;Materials;Equity;United States;New York Stock Exchange Inc.
CVS;CVS HEALTH CORP;Health Care;Equity;United States;New York Stock Exchange Inc.
MRSH;MARSH INC;Financials;Equity;United States;New York Stock Exchange Inc.
TMUS;T MOBILE US INC;Communication;Equity;United States;NASDAQ
CEG;CONSTELLATION ENERGY CORP;Utilities;Equity;United States;NASDAQ
PNC;PNC FINANCIAL SERVICES GROUP INC;Financials;Equity;United States;New York Stock Exchange Inc.
GD;GENERAL DYNAMICS CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
SNPS;SYNOPSYS INC;Information Technology;Equity;United States;NASDAQ
USB;US BANCORP;Financials;Equity;United States;New York Stock Exchange Inc.
RCL;ROYAL CARIBBEAN GROUP LTD;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
EMR;EMERSON ELECTRIC;Industrials;Equity;United States;New York Stock Exchange Inc.
BK;BANK OF NEW YORK MELLON CORP;Financials;Equity;United States;New York Stock Exchange Inc.
AMT;AMERICAN TOWER REIT CORP;Real Estate;Equity;United States;New York Stock Exchange Inc.
HWM;HOWMET AEROSPACE INC;Industrials;Equity;United States;New York Stock Exchange Inc.
ORLY;OREILLY AUTOMOTIVE INC;Consumer Discretionary;Equity;United States;NASDAQ
CRH;CRH PUBLIC LIMITED PLC;Materials;Equity;United States;New York Stock Exchange Inc.
MMM;3M;Industrials;Equity;United States;New York Stock Exchange Inc.
WM;WASTE MANAGEMENT INC;Industrials;Equity;United States;New York Stock Exchange Inc.
CDNS;CADENCE DESIGN SYSTEMS INC;Information Technology;Equity;United States;NASDAQ
SHW;SHERWIN WILLIAMS;Materials;Equity;United States;New York Stock Exchange Inc.
WMB;WILLIAMS INC;Energy;Equity;United States;New York Stock Exchange Inc.
EQIX;EQUINIX REIT INC;Real Estate;Equity;United States;NASDAQ
CMI;CUMMINS INC;Industrials;Equity;United States;New York Stock Exchange Inc.
MCO;MOODYS CORP;Financials;Equity;United States;New York Stock Exchange Inc.
GM;GENERAL MOTORS;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
GLW;CORNING INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
JCI;JOHNSON CONTROLS INTERNATIONAL PLC;Industrials;Equity;United States;New York Stock Exchange Inc.
TDG;TRANSDIGM GROUP INC;Industrials;Equity;United States;New York Stock Exchange Inc.
HCA;HCA HEALTHCARE INC;Health Care;Equity;United States;New York Stock Exchange Inc.
UPS;UNITED PARCEL SERVICE INC CLASS B;Industrials;Equity;United States;New York Stock Exchange Inc.
KKR;KKR AND CO INC;Financials;Equity;United States;New York Stock Exchange Inc.
SPOT;SPOTIFY TECHNOLOGY SA;Communication;Equity;Sweden;New York Stock Exchange Inc.
ELV;ELEVANCE HEALTH INC;Health Care;Equity;United States;New York Stock Exchange Inc.
ITW;ILLINOIS TOOL INC;Industrials;Equity;United States;New York Stock Exchange Inc.
REGN;REGENERON PHARMACEUTICALS INC;Health Care;Equity;United States;NASDAQ
HOOD;ROBINHOOD MARKETS INC CLASS A;Financials;Equity;United States;NASDAQ
MDLZ;MONDELEZ INTERNATIONAL INC CLASS A;Consumer Staples;Equity;United States;NASDAQ
DASH;DOORDASH INC CLASS A;Consumer Discretionary;Equity;United States;NASDAQ
VRT;VERTIV HOLDINGS CLASS A;Industrials;Equity;United States;New York Stock Exchange Inc.
SNDK;SANDISK CORP;Information Technology;Equity;United States;NASDAQ
XTSLA;BLK CSH FND TREASURY SL AGENCY;Cash and/or Derivatives;Money Market;United States;--
SLB;SLB NV;Energy;Equity;United States;New York Stock Exchange Inc.
NKE;NIKE INC CLASS B;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
AON;AON PLC CLASS A;Financials;Equity;United States;New York Stock Exchange Inc.
MAR;MARRIOTT INTERNATIONAL INC CLASS A;Consumer Discretionary;Equity;United States;NASDAQ
CI;CIGNA;Health Care;Equity;United States;New York Stock Exchange Inc.
PWR;QUANTA SERVICES INC;Industrials;Equity;United States;New York Stock Exchange Inc.
CSX;CSX CORP;Industrials;Equity;United States;NASDAQ
ECL;ECOLAB INC;Materials;Equity;United States;New York Stock Exchange Inc.
MRVL;MARVELL TECHNOLOGY INC;Information Technology;Equity;United States;NASDAQ
HLT;HILTON WORLDWIDE HOLDINGS INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
FDX;FEDEX CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
CL;COLGATE-PALMOLIVE;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
MSI;MOTOROLA SOLUTIONS INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
LHX;L3HARRIS TECHNOLOGIES INC;Industrials;Equity;United States;New York Stock Exchange Inc.
TFC;TRUIST FINANCIAL CORP;Financials;Equity;United States;New York Stock Exchange Inc.
SNOW;SNOWFLAKE INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
CTAS;CINTAS CORP;Industrials;Equity;United States;NASDAQ
NSC;NORFOLK SOUTHERN CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
COR;CENCORA INC;Health Care;Equity;United States;New York Stock Exchange Inc.
WBD;WARNER BROS. DISCOVERY INC SERIES;Communication;Equity;United States;NASDAQ
AEP;AMERICAN ELECTRIC POWER INC;Utilities;Equity;United States;NASDAQ
NU;NU HOLDINGS LTD CLASS A;Financials;Equity;Brazil;New York Stock Exchange Inc.
PCAR;PACCAR INC;Industrials;Equity;United States;NASDAQ
TRV;TRAVELERS COMPANIES INC;Financials;Equity;United States;New York Stock Exchange Inc.
AJG;ARTHUR J GALLAGHER;Financials;Equity;United States;New York Stock Exchange Inc.
SPG;SIMON PROPERTY GROUP REIT INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
AZO;AUTOZONE INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
EOG;EOG RESOURCES INC;Energy;Equity;United States;New York Stock Exchange Inc.
ROST;ROSS STORES INC;Consumer Discretionary;Equity;United States;NASDAQ
PSX;PHILLIPS;Energy;Equity;United States;New York Stock Exchange Inc.
KMI;KINDER MORGAN INC;Energy;Equity;United States;New York Stock Exchange Inc.
CVNA;CARVANA CLASS A;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
DLR;DIGITAL REALTY TRUST REIT INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
BDX;BECTON DICKINSON;Health Care;Equity;United States;New York Stock Exchange Inc.
SRE;SEMPRA;Utilities;Equity;United States;New York Stock Exchange Inc.
APD;AIR PRODUCTS AND CHEMICALS INC;Materials;Equity;United States;New York Stock Exchange Inc.
NET;CLOUDFLARE INC CLASS A;Information Technology;Equity;United States;New York Stock Exchange Inc.
ABNB;AIRBNB INC CLASS A;Consumer Discretionary;Equity;United States;NASDAQ
BKR;BAKER HUGHES CLASS A;Energy;Equity;United States;NASDAQ
APO;APOLLO GLOBAL MANAGEMENT INC;Financials;Equity;United States;New York Stock Exchange Inc.
O;REALTY INCOME REIT CORP;Real Estate;Equity;United States;New York Stock Exchange Inc.
MNST;MONSTER BEVERAGE CORP;Consumer Staples;Equity;United States;NASDAQ
VLO;VALERO ENERGY CORP;Energy;Equity;United States;New York Stock Exchange Inc.
VST;VISTRA CORP;Utilities;Equity;United States;New York Stock Exchange Inc.
F;FORD MOTOR CO;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
MPWR;MONOLITHIC POWER SYSTEMS INC;Information Technology;Equity;United States;NASDAQ
ADSK;AUTODESK INC;Information Technology;Equity;United States;NASDAQ
ZTS;ZOETIS INC CLASS A;Health Care;Equity;United States;New York Stock Exchange Inc.
IDXX;IDEXX LABORATORIES INC;Health Care;Equity;United States;NASDAQ
MPC;MARATHON PETROLEUM CORP;Energy;Equity;United States;New York Stock Exchange Inc.
AU;ANGLOGOLD ASHANTI PLC;Materials;Equity;South Africa;New York Stock Exchange Inc.
AFL;AFLAC INC;Financials;Equity;United States;New York Stock Exchange Inc.
AME;AMETEK INC;Industrials;Equity;United States;New York Stock Exchange Inc.
ALL;ALLSTATE CORP;Financials;Equity;United States;New York Stock Exchange Inc.
FTNT;FORTINET INC;Information Technology;Equity;United States;NASDAQ
D;DOMINION ENERGY INC;Utilities;Equity;United States;New York Stock Exchange Inc.
CMG;CHIPOTLE MEXICAN GRILL INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
EA;ELECTRONIC ARTS INC;Communication;Equity;United States;NASDAQ
CBRE;CBRE GROUP INC CLASS A;Real Estate;Equity;United States;New York Stock Exchange Inc.
CTVA;CORTEVA INC;Materials;Equity;United States;New York Stock Exchange Inc.
CAH;CARDINAL HEALTH INC;Health Care;Equity;United States;New York Stock Exchange Inc.
URI;UNITED RENTALS INC;Industrials;Equity;United States;New York Stock Exchange Inc.
FAST;FASTENAL;Industrials;Equity;United States;NASDAQ
PYPL;PAYPAL HOLDINGS INC;Financials;Equity;United States;NASDAQ
FERG;FERGUSON ENTERPRISES INC;Industrials;Equity;United States;New York Stock Exchange Inc.
OKE;ONEOK INC;Energy;Equity;United States;New York Stock Exchange Inc.
AMP;AMERIPRISE FINANCE INC;Financials;Equity;United States;New York Stock Exchange Inc.
ROK;ROCKWELL AUTOMATION INC;Industrials;Equity;United States;New York Stock Exchange Inc.
GWW;WW GRAINGER INC;Industrials;Equity;United States;New York Stock Exchange Inc.
CARR;CARRIER GLOBAL CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
RBLX;ROBLOX CORP CLASS A;Communication;Equity;United States;New York Stock Exchange Inc.
EW;EDWARDS LIFESCIENCES CORP;Health Care;Equity;United States;New York Stock Exchange Inc.
TGT;TARGET CORP;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
LNG;CHENIERE ENERGY INC;Energy;Equity;United States;New York Stock Exchange Inc.
XEL;XCEL ENERGY INC;Utilities;Equity;United States;NASDAQ
EXC;EXELON CORP;Utilities;Equity;United States;NASDAQ
NDAQ;NASDAQ INC;Financials;Equity;United States;NASDAQ
COIN;COINBASE GLOBAL INC CLASS A;Financials;Equity;United States;NASDAQ
MSCI;MSCI INC;Financials;Equity;United States;New York Stock Exchange Inc.
PSA;PUBLIC STORAGE REIT;Real Estate;Equity;United States;New York Stock Exchange Inc.
ALNY;ALNYLAM PHARMACEUTICALS INC;Health Care;Equity;United States;NASDAQ
MET;METLIFE INC;Financials;Equity;United States;New York Stock Exchange Inc.
TTWO;TAKE TWO INTERACTIVE SOFTWARE INC;Communication;Equity;United States;NASDAQ
TRGP;TARGA RESOURCES CORP;Energy;Equity;United States;New York Stock Exchange Inc.
RSG;REPUBLIC SERVICES INC;Industrials;Equity;United States;New York Stock Exchange Inc.
EBAY;EBAY INC;Consumer Discretionary;Equity;United States;NASDAQ
DAL;DELTA AIR LINES INC;Industrials;Equity;United States;New York Stock Exchange Inc.
YUM;YUM BRANDS INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
ETR;ENTERGY CORP;Utilities;Equity;United States;New York Stock Exchange Inc.
MCHP;MICROCHIP TECHNOLOGY INC;Information Technology;Equity;United States;NASDAQ
AIG;AMERICAN INTERNATIONAL GROUP INC;Financials;Equity;United States;New York Stock Exchange Inc.
NUE;NUCOR CORP;Materials;Equity;United States;New York Stock Exchange Inc.
PEG;PUBLIC SERVICE ENTERPRISE GROUP IN;Utilities;Equity;United States;New York Stock Exchange Inc.
SYY;SYSCO CORP;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
FIX;COMFORT SYSTEMS USA INC;Industrials;Equity;United States;New York Stock Exchange Inc.
DHI;D R HORTON INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
CTSH;COGNIZANT TECHNOLOGY SOLUTIONS COR;Information Technology;Equity;United States;NASDAQ
IQV;IQVIA HOLDINGS INC;Health Care;Equity;United States;New York Stock Exchange Inc.
WAB;WESTINGHOUSE AIR BRAKE TECHNOLOGIE;Industrials;Equity;United States;New York Stock Exchange Inc.
VMC;VULCAN MATERIALS;Materials;Equity;United States;New York Stock Exchange Inc.
DDOG;DATADOG INC CLASS A;Information Technology;Equity;United States;NASDAQ
TER;TERADYNE INC;Information Technology;Equity;United States;NASDAQ
ROP;ROPER TECHNOLOGIES INC;Information Technology;Equity;United States;NASDAQ
MLM;MARTIN MARIETTA MATERIALS INC;Materials;Equity;United States;New York Stock Exchange Inc.
PRU;PRUDENTIAL FINANCIAL INC;Financials;Equity;United States;New York Stock Exchange Inc.
MSTR;STRATEGY INC CLASS A;Information Technology;Equity;United States;NASDAQ
ED;CONSOLIDATED EDISON INC;Utilities;Equity;United States;New York Stock Exchange Inc.
AXON;AXON ENTERPRISE INC;Industrials;Equity;United States;NASDAQ
DELL;DELL TECHNOLOGIES INC CLASS C;Information Technology;Equity;United States;New York Stock Exchange Inc.
RMD;RESMED INC;Health Care;Equity;United States;New York Stock Exchange Inc.
CCI;CROWN CASTLE INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
A;AGILENT TECHNOLOGIES INC;Health Care;Equity;United States;New York Stock Exchange Inc.
KEYS;KEYSIGHT TECHNOLOGIES INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
WDAY;WORKDAY INC CLASS A;Information Technology;Equity;United States;NASDAQ
HIG;HARTFORD INSURANCE GROUP INC;Financials;Equity;United States;New York Stock Exchange Inc.
KR;KROGER;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
STT;STATE STREET CORP;Financials;Equity;United States;New York Stock Exchange Inc.
VTR;VENTAS REIT INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
WEC;WEC ENERGY GROUP INC;Utilities;Equity;United States;New York Stock Exchange Inc.
GEHC;GE HEALTHCARE TECHNOLOGIES INC;Health Care;Equity;United States;NASDAQ
CPRT;COPART INC;Industrials;Equity;United States;NASDAQ
CIEN;CIENA CORP;Information Technology;Equity;United States;New York Stock Exchange Inc.
IR;INGERSOLL RAND INC;Industrials;Equity;United States;New York Stock Exchange Inc.
RKLB;ROCKET LAB CORP;Industrials;Equity;United States;NASDAQ
FICO;FAIR ISAAC CORP;Information Technology;Equity;United States;New York Stock Exchange Inc.
EQT;EQT CORP;Energy;Equity;United States;New York Stock Exchange Inc.
KDP;KEURIG DR PEPPER INC;Consumer Staples;Equity;United States;NASDAQ
MTB;M&T BANK CORP;Financials;Equity;United States;New York Stock Exchange Inc.
FISV;FISERV INC;Financials;Equity;United States;NASDAQ
ACGL;ARCH CAPITAL GROUP LTD;Financials;Equity;United States;NASDAQ
OTIS;OTIS WORLDWIDE CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
UAL;UNITED AIRLINES HOLDINGS INC;Industrials;Equity;United States;NASDAQ
XYZ;BLOCK INC CLASS A;Financials;Equity;United States;New York Stock Exchange Inc.
XYL;XYLEM INC;Industrials;Equity;United States;New York Stock Exchange Inc.
CCL;CARNIVAL CORP;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
FITB;FIFTH THIRD BANCORP;Financials;Equity;United States;NASDAQ
BE;BLOOM ENERGY CLASS A CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
GRMN;GARMIN LTD;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
PCG;PG&E CORP;Utilities;Equity;United States;New York Stock Exchange Inc.
INSM;INSMED INC;Health Care;Equity;United States;NASDAQ
COHR;COHERENT CORP;Information Technology;Equity;United States;New York Stock Exchange Inc.
KVUE;KENVUE INC;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
PAYX;PAYCHEX INC;Industrials;Equity;United States;NASDAQ
KMB;KIMBERLY CLARK CORP;Consumer Staples;Equity;United States;NASDAQ
IBKR;INTERACTIVE BROKERS GROUP INC CLAS;Financials;Equity;United States;NASDAQ
EME;EMCOR GROUP INC;Industrials;Equity;United States;New York Stock Exchange Inc.
ODFL;OLD DOMINION FREIGHT LINE INC;Industrials;Equity;United States;NASDAQ
OXY;OCCIDENTAL PETROLEUM CORP;Energy;Equity;United States;New York Stock Exchange Inc.
ADM;ARCHER DANIELS MIDLAND;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
EXPE;EXPEDIA GROUP INC;Consumer Discretionary;Equity;United States;NASDAQ
DG;DOLLAR GENERAL CORP;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
VEEV;VEEVA SYSTEMS INC CLASS A;Health Care;Equity;United States;New York Stock Exchange Inc.
FANG;DIAMONDBACK ENERGY INC;Energy;Equity;United States;NASDAQ
RJF;RAYMOND JAMES INC;Financials;Equity;United States;New York Stock Exchange Inc.
WTW;WILLIS TOWERS WATSON PLC;Financials;Equity;United States;NASDAQ
VRSK;VERISK ANALYTICS INC;Industrials;Equity;United States;NASDAQ
NTRA;NATERA INC;Health Care;Equity;United States;NASDAQ
VICI;VICI PPTYS INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
SOFI;SOFI TECHNOLOGIES INC;Financials;Equity;United States;NASDAQ
FIS;FIDELITY NATIONAL INFORMATION SERV;Financials;Equity;United States;New York Stock Exchange Inc.
MDB;MONGODB INC CLASS A;Information Technology;Equity;United States;NASDAQ
NRG;NRG ENERGY INC;Utilities;Equity;United States;New York Stock Exchange Inc.
EXR;EXTRA SPACE STORAGE REIT INC;Real Estate;Equity;United States;New York Stock Exchange Inc.
HPE;HEWLETT PACKARD ENTERPRISE;Information Technology;Equity;United States;New York Stock Exchange Inc.
TDY;TELEDYNE TECHNOLOGIES INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
DXCM;DEXCOM INC;Health Care;Equity;United States;NASDAQ
LPLA;LPL FINANCIAL HOLDINGS INC;Financials;Equity;United States;NASDAQ
MTD;METTLER TOLEDO INC;Health Care;Equity;United States;New York Stock Exchange Inc.
NTRS;NORTHERN TRUST CORP;Financials;Equity;United States;NASDAQ
HAL;HALLIBURTON;Energy;Equity;United States;New York Stock Exchange Inc.
ARES;ARES MANAGEMENT CORP CLASS A;Financials;Equity;United States;New York Stock Exchange Inc.
CBOE;CBOE GLOBAL MARKETS INC;Financials;Equity;United States;Cboe BZX
FTAI;FTAI AVIATION LTD;Industrials;Equity;United States;NASDAQ
EL;ESTEE LAUDER INC CLASS A;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
ULTA;ULTA BEAUTY INC;Consumer Discretionary;Equity;United States;NASDAQ
DTE;DTE ENERGY;Utilities;Equity;United States;New York Stock Exchange Inc.
CFG;CITIZENS FINANCIAL GROUP INC;Financials;Equity;United States;New York Stock Exchange Inc.
